,Round,Date,Home,Away,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2008-03-29,Colorado Rapids,LA Galaxy,0,4,0,Colorado Rapids,2008
1,Regular Season,2008-03-29,Columbus Crew,Toronto FC,0,2,0,Columbus Crew,2008
2,Regular Season,2008-03-29,Real Salt Lake,Chicago Fire,0,1,1,,2008
3,Regular Season,2008-03-29,KC Wizards,D.C. United,0,2,0,KC Wizards,2008
4,Regular Season,2008-03-29,New England,Houston Dynamo,0,3,0,New England,2008
5,Regular Season,2008-03-30,FC Dallas,Chivas USA,0,1,1,,2008
6,Regular Season,2008-04-03,Chicago Fire,New England,0,4,0,Chicago Fire,2008
7,Regular Season,2008-04-03,LA Galaxy,San Jose,0,2,0,LA Galaxy,2008
8,Regular Season,2008-04-05,D.C. United,Toronto FC,0,4,1,D.C. United,2008
9,Regular Season,2008-04-05,KC Wizards,Colorado Rapids,0,3,2,KC Wizards,2008
10,Regular Season,2008-04-05,Chivas USA,Real Salt Lake,0,3,1,Chivas USA,2008
11,Regular Season,2008-04-05,NY Red Bulls,Columbus Crew,0,2,0,NY Red Bulls,2008
12,Regular Season,2008-04-06,Houston Dynamo,FC Dallas,0,3,3,,2008
13,Regular Season,2008-04-09,KC Wizards,New England,0,1,3,New England,2008
14,Regular Season,2008-04-12,San Jose,Chicago Fire,0,0,1,Chicago Fire,2008
15,Regular Season,2008-04-12,New England,Colorado Rapids,0,0,1,Colorado Rapids,2008
16,Regular Season,2008-04-12,Columbus Crew,Chivas USA,0,4,3,Columbus Crew,2008
17,Regular Season,2008-04-12,FC Dallas,NY Red Bulls,0,2,0,FC Dallas,2008
18,Regular Season,2008-04-12,Real Salt Lake,D.C. United,0,4,0,Real Salt Lake,2008
19,Regular Season,2008-04-12,KC Wizards,Houston Dynamo,0,0,0,,2008
20,Regular Season,2008-04-13,LA Galaxy,Toronto FC,0,2,3,Toronto FC,2008
21,Regular Season,2008-04-17,D.C. United,Columbus Crew,0,1,2,Columbus Crew,2008
22,Regular Season,2008-04-19,Toronto FC,Real Salt Lake,0,1,0,Toronto FC,2008
23,Regular Season,2008-04-19,Colorado Rapids,San Jose,0,0,2,San Jose,2008
25,Regular Season,2008-04-19,LA Galaxy,Houston Dynamo,0,2,2,,2008
26,Regular Season,2008-04-19,NY Red Bulls,New England,0,1,1,,2008
27,Regular Season,2008-04-20,Chicago Fire,KC Wizards,0,0,1,KC Wizards,2008
28,Regular Season,2008-04-20,Chivas USA,FC Dallas,0,0,2,FC Dallas,2008
29,Regular Season,2008-04-24,FC Dallas,New England,0,0,1,New England,2008
30,Regular Season,2008-04-26,Chicago Fire,Colorado Rapids,0,2,1,Chicago Fire,2008
31,Regular Season,2008-04-26,D.C. United,Real Salt Lake,0,4,1,D.C. United,2008
32,Regular Season,2008-04-26,LA Galaxy,Chivas USA,0,5,2,LA Galaxy,2008
33,Regular Season,2008-04-26,Columbus Crew,Houston Dynamo,0,1,0,Columbus Crew,2008
34,Regular Season,2008-04-26,Toronto FC,KC Wizards,0,2,0,Toronto FC,2008
35,Regular Season,2008-04-27,NY Red Bulls,San Jose,0,2,0,NY Red Bulls,2008
36,Regular Season,2008-05-01,Toronto FC,NY Red Bulls,0,1,1,,2008
37,Regular Season,2008-05-03,Houston Dynamo,Chivas USA,0,0,0,,2008
38,Regular Season,2008-05-03,New England,Chicago Fire,0,0,3,Chicago Fire,2008
39,Regular Season,2008-05-03,Columbus Crew,KC Wizards,0,2,1,Columbus Crew,2008
40,Regular Season,2008-05-03,San Jose,FC Dallas,0,0,0,,2008
41,Regular Season,2008-05-03,Real Salt Lake,LA Galaxy,0,2,2,,2008
42,Regular Season,2008-05-04,Colorado Rapids,D.C. United,0,2,0,Colorado Rapids,2008
43,Regular Season,2008-05-08,D.C. United,Chicago Fire,0,0,2,Chicago Fire,2008
44,Regular Season,2008-05-10,LA Galaxy,NY Red Bulls,0,1,2,NY Red Bulls,2008
45,Regular Season,2008-05-10,Real Salt Lake,FC Dallas,0,2,1,Real Salt Lake,2008
46,Regular Season,2008-05-10,Houston Dynamo,Colorado Rapids,0,2,1,Houston Dynamo,2008
47,Regular Season,2008-05-10,San Jose,Columbus Crew,0,2,3,Columbus Crew,2008
48,Regular Season,2008-05-11,Chivas USA,New England,0,1,2,New England,2008
49,Regular Season,2008-05-15,Colorado Rapids,Real Salt Lake,0,2,0,Colorado Rapids,2008
51,Regular Season,2008-05-17,Toronto FC,Columbus Crew,0,0,0,,2008
52,Regular Season,2008-05-17,New England,San Jose,0,2,0,New England,2008
53,Regular Season,2008-05-17,Chicago Fire,Houston Dynamo,0,1,2,Houston Dynamo,2008
54,Regular Season,2008-05-17,NY Red Bulls,KC Wizards,0,1,1,,2008
55,Regular Season,2008-05-17,Chivas USA,D.C. United,0,3,1,Chivas USA,2008
56,Regular Season,2008-05-18,FC Dallas,LA Galaxy,0,1,5,LA Galaxy,2008
57,Regular Season,2008-05-21,Toronto FC,D.C. United,0,1,0,Toronto FC,2008
58,Regular Season,2008-05-22,San Jose,Houston Dynamo,0,2,1,San Jose,2008
59,Regular Season,2008-05-24,LA Galaxy,KC Wizards,0,3,1,LA Galaxy,2008
60,Regular Season,2008-05-24,FC Dallas,Real Salt Lake,0,2,1,FC Dallas,2008
61,Regular Season,2008-05-24,Colorado Rapids,Chivas USA,0,1,2,Chivas USA,2008
62,Regular Season,2008-05-24,D.C. United,Toronto FC,0,3,2,D.C. United,2008
63,Regular Season,2008-05-24,Columbus Crew,New England,0,0,1,New England,2008
64,Regular Season,2008-05-25,NY Red Bulls,Chicago Fire,0,1,5,Chicago Fire,2008
65,Regular Season,2008-05-28,FC Dallas,Houston Dynamo,0,2,2,,2008
66,Regular Season,2008-05-29,New England,D.C. United,0,2,2,,2008
67,Regular Season,2008-05-31,Real Salt Lake,San Jose,0,3,1,Real Salt Lake,2008
68,Regular Season,2008-05-31,Houston Dynamo,NY Red Bulls,0,1,0,Houston Dynamo,2008
69,Regular Season,2008-05-31,Chivas USA,Columbus Crew,0,2,0,Chivas USA,2008
70,Regular Season,2008-05-31,Toronto FC,LA Galaxy,0,2,0,Toronto FC,2008
71,Regular Season,2008-06-01,Colorado Rapids,FC Dallas,0,2,1,Colorado Rapids,2008
72,Regular Season,2008-06-05,NY Red Bulls,Chivas USA,0,1,0,NY Red Bulls,2008
73,Regular Season,2008-06-06,New England,FC Dallas,0,2,1,New England,2008
74,Regular Season,2008-06-07,Columbus Crew,San Jose,0,0,2,San Jose,2008
75,Regular Season,2008-06-07,Chicago Fire,D.C. United,0,1,2,D.C. United,2008
77,Regular Season,2008-06-07,Real Salt Lake,KC Wizards,0,0,0,,2008
78,Regular Season,2008-06-07,LA Galaxy,Colorado Rapids,0,3,2,LA Galaxy,2008
79,Regular Season,2008-06-08,Houston Dynamo,Toronto FC,0,3,1,Houston Dynamo,2008
80,Regular Season,2008-06-12,Houston Dynamo,New England,0,0,2,New England,2008
81,Regular Season,2008-06-14,San Jose,LA Galaxy,0,0,3,LA Galaxy,2008
82,Regular Season,2008-06-14,Chivas USA,Real Salt Lake,0,0,1,Real Salt Lake,2008
83,Regular Season,2008-06-14,KC Wizards,Columbus Crew,0,0,3,Columbus Crew,2008
84,Regular Season,2008-06-14,Toronto FC,Colorado Rapids,0,3,1,Toronto FC,2008
85,Regular Season,2008-06-14,D.C. United,NY Red Bulls,0,4,1,D.C. United,2008
86,Regular Season,2008-06-15,FC Dallas,Chicago Fire,0,1,0,FC Dallas,2008
87,Regular Season,2008-06-18,Real Salt Lake,San Jose,0,0,0,,2008
88,Regular Season,2008-06-18,New England,NY Red Bulls,0,1,1,,2008
89,Regular Season,2008-06-19,Chivas USA,Chicago Fire,0,2,0,Chivas USA,2008
90,Regular Season,2008-06-21,Colorado Rapids,Houston Dynamo,0,0,0,,2008
91,Regular Season,2008-06-21,Toronto FC,KC Wizards,0,0,0,,2008
92,Regular Season,2008-06-21,LA Galaxy,Columbus Crew,0,3,3,,2008
93,Regular Season,2008-06-21,Real Salt Lake,New England,0,2,1,Real Salt Lake,2008
94,Regular Season,2008-06-21,NY Red Bulls,FC Dallas,0,1,0,NY Red Bulls,2008
95,Regular Season,2008-06-22,D.C. United,San Jose,0,3,1,D.C. United,2008
96,Regular Season,2008-06-26,Houston Dynamo,FC Dallas,0,1,1,,2008
97,Regular Season,2008-06-28,Chicago Fire,San Jose,0,0,0,,2008
98,Regular Season,2008-06-28,New England,Toronto FC,0,2,1,New England,2008
99,Regular Season,2008-06-28,KC Wizards,Real Salt Lake,0,1,0,KC Wizards,2008
100,Regular Season,2008-06-28,Columbus Crew,Colorado Rapids,0,2,1,Columbus Crew,2008
101,Regular Season,2008-06-28,Chivas USA,NY Red Bulls,0,1,1,,2008
103,Regular Season,2008-06-29,D.C. United,LA Galaxy,0,4,1,D.C. United,2008
104,Regular Season,2008-07-03,Real Salt Lake,Houston Dynamo,0,0,0,,2008
105,Regular Season,2008-07-04,LA Galaxy,New England,0,1,2,New England,2008
106,Regular Season,2008-07-04,Colorado Rapids,NY Red Bulls,0,4,0,Colorado Rapids,2008
107,Regular Season,2008-07-04,FC Dallas,KC Wizards,0,1,1,,2008
108,Regular Season,2008-07-05,Chivas USA,San Jose,0,1,0,Chivas USA,2008
109,Regular Season,2008-07-05,Columbus Crew,Chicago Fire,0,2,2,,2008
110,Regular Season,2008-07-10,LA Galaxy,Chivas USA,0,1,1,,2008
111,Regular Season,2008-07-10,KC Wizards,NY Red Bulls,0,2,1,KC Wizards,2008
112,Regular Season,2008-07-12,Chicago Fire,Toronto FC,0,2,1,Chicago Fire,2008
113,Regular Season,2008-07-12,San Jose,Colorado Rapids,0,1,1,,2008
114,Regular Season,2008-07-12,Real Salt Lake,Columbus Crew,0,2,0,Real Salt Lake,2008
115,Regular Season,2008-07-17,Columbus Crew,KC Wizards,0,3,3,,2008
116,Regular Season,2008-07-19,Toronto FC,San Jose,0,0,0,,2008
117,Regular Season,2008-07-19,Chicago Fire,Real Salt Lake,0,0,0,,2008
118,Regular Season,2008-07-19,FC Dallas,Colorado Rapids,0,2,2,,2008
119,Regular Season,2008-07-19,NY Red Bulls,LA Galaxy,0,2,2,,2008
120,Regular Season,2008-07-23,D.C. United,Houston Dynamo,0,0,2,Houston Dynamo,2008
121,Regular Season,2008-07-27,Colorado Rapids,Columbus Crew,0,0,2,Columbus Crew,2008
122,Regular Season,2008-07-27,FC Dallas,LA Galaxy,0,4,0,FC Dallas,2008
123,Regular Season,2008-07-27,KC Wizards,Chicago Fire,0,0,0,,2008
124,Regular Season,2008-07-27,San Jose,NY Red Bulls,0,1,1,,2008
125,Regular Season,2008-07-28,Real Salt Lake,Toronto FC,0,2,1,Real Salt Lake,2008
126,Regular Season,2008-08-02,Houston Dynamo,Columbus Crew,0,2,0,Houston Dynamo,2008
127,Regular Season,2008-08-02,D.C. United,KC Wizards,0,2,0,D.C. United,2008
129,Regular Season,2008-08-02,Chicago Fire,Chivas USA,0,1,0,Chicago Fire,2008
130,Regular Season,2008-08-03,San Jose,LA Galaxy,0,3,2,San Jose,2008
131,Regular Season,2008-08-03,Toronto FC,FC Dallas,0,0,2,FC Dallas,2008
132,Regular Season,2008-08-09,KC Wizards,Chivas USA,0,3,2,KC Wizards,2008
133,Regular Season,2008-08-09,New England,Chicago Fire,0,1,2,Chicago Fire,2008
134,Regular Season,2008-08-09,Colorado Rapids,Toronto FC,0,0,1,Toronto FC,2008
135,Regular Season,2008-08-10,NY Red Bulls,D.C. United,0,4,1,NY Red Bulls,2008
136,Regular Season,2008-08-14,Chivas USA,LA Galaxy,0,2,2,,2008
137,Regular Season,2008-08-16,Houston Dynamo,Real Salt Lake,0,4,3,Houston Dynamo,2008
138,Regular Season,2008-08-16,Columbus Crew,FC Dallas,0,2,1,Columbus Crew,2008
139,Regular Season,2008-08-16,Chicago Fire,D.C. United,0,0,1,D.C. United,2008
140,Regular Season,2008-08-16,San Jose,New England,0,4,0,San Jose,2008
