,Round,Date,Home,xGH,xGA,Away,Attendance,GHome,GAway,Winner,Season
0,Regular Season,2022-02-26,Philadelphia,0.9,1.1,Minnesota Utd,17487,1,1,,2022
1,Regular Season,2022-02-26,Los Angeles FC,2.0,0.4,Colorado Rapids,22010,3,0,Los Angeles FC,2022
2,Regular Season,2022-02-26,Columbus Crew,2.7,0.4,Vancouver,18939,4,0,Columbus Crew,2022
3,Regular Season,2022-02-26,FC Dallas,2.4,1.5,Toronto FC,12233,1,1,,2022
4,Regular Season,2022-02-26,San Jose,0.7,2.8,NY Red Bulls,16146,1,3,NY Red Bulls,2022
5,Regular Season,2022-02-26,Austin FC,2.8,1.3,FC Cincinnati,20738,5,0,Austin FC,2022
6,Regular Season,2022-02-26,Inter Miami,1.6,1.6,Chicago Fire,15973,0,0,,2022
7,Regular Season,2022-02-26,D.C. United,1.5,1.2,Charlotte FC,16412,3,0,D.C. United,2022
8,Regular Season,2022-02-26,Portland Timbers,2.5,0.8,New England,23411,2,2,,2022
9,Regular Season,2022-02-27,Orlando City,1.1,0.9,CF Montréal,21283,2,0,Orlando City,2022
10,Regular Season,2022-02-27,Atlanta Utd,2.2,0.9,Sporting KC,67523,3,1,Atlanta Utd,2022
11,Regular Season,2022-02-27,LA Galaxy,1.9,0.8,NYCFC,25174,1,0,LA Galaxy,2022
12,Regular Season,2022-02-27,Houston Dynamo,0.4,0.3,Real Salt Lake,18561,0,0,,2022
13,Regular Season,2022-02-27,Seattle,0.6,0.8,Nashville,30013,0,1,Nashville,2022
